mendeley_count,citeulike_count,connotea_count,blogs_count,news_count,twitter_count,wikipedia_count,facebook_count,googleplus_count,policy_count,median (12)
6,0,0,0,1,0,0,3,270,0,1
0,0,0,0,0,0,0,0,0,1,1
22,0,0,0,0,0,0,0,0,1,0
25,0,0,0,0,0,0,0,0,1,1
18,0,0,0,0,0,0,0,0,2,0
10,0,0,0,0,0,0,0,0,1,0
13,0,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,0,0,0,1,0
18,0,0,0,0,0,0,0,0,1,0
8,0,0,0,0,0,0,0,0,1,1
16,0,0,0,0,1,0,0,0,0,1
19,0,0,0,0,0,0,0,0,0,0
107,0,0,1,0,0,0,0,0,3,1
0,0,0,1,2,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,1,1
4,0,0,0,4,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
11,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
46,0,0,0,0,1,0,0,0,0,1
10,0,0,0,0,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
48,0,0,0,0,0,0,0,0,2,0
27,0,0,1,0,0,0,0,0,0,1
3,0,0,0,0,1,0,0,0,0,1
34,0,0,0,0,2,0,0,0,0,1
35,0,0,0,0,1,0,0,0,0,1
14,0,0,0,0,0,0,0,0,1,0
49,0,0,0,0,0,0,0,0,2,0
14,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
3,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1
2,0,0,0,0,0,0,0,0,2,1
6,0,0,0,0,0,0,0,0,1,0
18,0,0,0,0,0,0,0,0,1,0
22,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,3,0,1,0,0,1
16,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
26,0,0,0,0,0,0,0,0,3,0
6,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,1
4,0,0,0,0,0,0,0,0,2,0
29,0,0,0,0,0,0,0,0,3,0
5,0,0,0,0,0,0,0,0,1,1
3,0,0,0,0,0,0,0,0,1,0
31,0,0,0,0,0,1,0,0,0,1
53,0,1,0,0,3,0,0,0,0,1
15,0,0,0,0,1,0,0,0,0,1
198,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0,1,0
32,0,0,0,0,0,0,0,0,2,1
10,0,0,0,0,0,0,0,0,2,0
273,0,24,0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,1,0
7,0,0,0,0,1,0,0,0,0,1
8,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0
180,0,0,0,1,0,0,0,0,3,1
62,0,0,0,0,0,0,0,0,1,1
6,0,0,0,0,1,0,0,0,0,1
14,0,0,0,0,0,0,0,0,1,1
